Date,Sales,TimeIndex,PredictedSales
2009-12-01,43894.87,0,20644.32328613731
2009-12-02,52762.06,1,20696.705106732057
2009-12-03,67413.62,2,20749.086927326804
2009-12-04,33913.81,3,20801.46874792155
2009-12-05,9803.050000000001,4,20853.850568516296
2009-12-06,24390.1,5,20906.232389111043
2009-12-07,33002.49,6,20958.61420970579
2009-12-08,44763.340000000004,7,21010.996030300535
2009-12-09,30763.170000000002,8,21063.377850895286
2009-12-10,38598.21,9,21115.759671490032
2009-12-11,39204.17,10,21168.14149208478
2009-12-13,21577.35,11,21220.523312679525
2009-12-14,51245.16,12,21272.90513327427
2009-12-15,46836.63,13,21325.286953869017
2009-12-16,36927.3,14,21377.668774463764
2009-12-17,29758.87,15,21430.05059505851
2009-12-18,31562.72,16,21482.432415653257
2009-12-20,11355.19,17,21534.814236248003
2009-12-21,15549.640000000001,18,21587.19605684275
2009-12-22,10696.59,19,21639.577877437496
2009-12-23,9485.67,20,21691.959698032242
2010-01-04,13415.09,21,21744.341518626992
2010-01-05,19051.19,22,21796.72333922174
2010-01-06,8731.26,23,21849.105159816485
2010-01-07,72989.38,24,21901.48698041123
2010-01-08,30292.7,25,21953.868801005978
2010-01-10,23157.33,26,22006.250621600724
2010-01-11,19684.49,27,22058.63244219547
2010-01-12,38833.58,28,22111.014262790217
2010-01-13,12391.1,29,22163.396083384963
2010-01-14,23721.64,30,22215.77790397971
2010-01-15,13499.550000000001,31,22268.159724574456
2010-01-17,17363.25,32,22320.541545169202
2010-01-18,12078.84,33,22372.92336576395
2010-01-19,21892.791,34,22425.305186358695
2010-01-20,13244.34,35,22477.68700695344
2010-01-21,27359.23,36,22530.068827548188
2010-01-22,29345.83,37,22582.450648142938
2010-01-24,15552.32,38,22634.832468737684
2010-01-25,18346.54,39,22687.21428933243
2010-01-26,38570.37,40,22739.596109927177
2010-01-27,23722.72,41,22791.977930521924
2010-01-28,18914.83,42,22844.35975111667
2010-01-29,25382.441,43,22896.741571711416
2010-01-31,18261.86,44,22949.123392306163
2010-02-01,16606.931,45,23001.50521290091
2010-02-02,19532.03,46,23053.887033495655
2010-02-03,17230.061,47,23106.268854090402
2010-02-04,22486.01,48,23158.65067468515
2010-02-05,19420.74,49,23211.0324952799
2010-02-07,17023.920000000002,50,23263.414315874645
2010-02-08,13016.04,51,23315.79613646939
2010-02-09,18398.260000000002,52,23368.177957064137
2010-02-10,6082.34,53,23420.559777658884
2010-02-11,15061.87,54,23472.94159825363
2010-02-12,9728.96,55,23525.323418848377
2010-02-14,17772.19,56,23577.705239443123
2010-02-15,42318.211,57,23630.08706003787
2010-02-16,25669.010000000002,58,23682.468880632616
2010-02-17,26455.22,59,23734.850701227362
2010-02-18,35737.24,60,23787.23252182211
2010-02-19,18931.99,61,23839.614342416855
2010-02-21,11394.731,62,23891.9961630116
2010-02-22,26336.24,63,23944.377983606348
2010-02-23,20840.010000000002,64,23996.759804201094
2010-02-24,30392.661,65,24049.141624795844
2010-02-25,44604.16,66,24101.52344539059
2010-02-26,12778.641,67,24153.905265985337
2010-02-28,16741.49,68,24206.287086580083
2010-03-01,23933.87,69,24258.66890717483
2010-03-02,21667.8,70,24311.050727769576
2010-03-03,31849.7,71,24363.432548364322
2010-03-04,29966.35,72,24415.81436895907
2010-03-05,25361.64,73,24468.196189553815
2010-03-07,19034.6,74,24520.57801014856
2010-03-08,26605.58,75,24572.959830743308
2010-03-09,19665.69,76,24625.341651338054
2010-03-10,22905.79,77,24677.7234719328
2010-03-11,21537.09,78,24730.10529252755
2010-03-12,19123.05,79,24782.487113122297
2010-03-14,8947.9,80,24834.868933717044
2010-03-15,20536.681,81,24887.25075431179
2010-03-16,21048.78,82,24939.632574906536
2010-03-17,29543.78,83,24992.014395501283
2010-03-18,37570.75,84,25044.39621609603
2010-03-19,35274.3,85,25096.778036690775
2010-03-21,20485.48,86,25149.159857285522
2010-03-22,21494.16,87,25201.54167788027
2010-03-23,41826.29,88,25253.923498475015
2010-03-24,25970.5,89,25306.30531906976
2010-03-25,30503.38,90,25358.687139664507
2010-03-26,29867.35,91,25411.068960259254
2010-03-28,22402.0,92,25463.450780854
2010-03-29,31740.38,93,25515.832601448747
2010-03-30,33524.51,94,25568.214422043493
2010-03-31,24591.07,95,25620.596242638243
2010-04-01,28646.66,96,25672.97806323299
2010-04-06,17900.83,97,25725.359883827736
2010-04-07,32146.75,98,25777.741704422482
2010-04-08,39866.6,99,25830.12352501723
2010-04-09,14668.53,100,25882.505345611975
2010-04-11,19732.05,101,25934.88716620672
2010-04-12,25912.471,102,25987.268986801468
2010-04-13,25736.04,103,26039.650807396214
2010-04-14,27054.25,104,26092.03262799096
2010-04-15,19538.34,105,26144.41444858571
2010-04-16,19363.82,106,26196.796269180457
2010-04-18,23934.46,107,26249.178089775203
2010-04-19,24561.04,108,26301.55991036995
2010-04-20,21202.35,109,26353.941730964696
2010-04-21,25873.86,110,26406.323551559442
2010-04-22,35741.2,111,26458.70537215419
2010-04-23,14969.64,112,26511.087192748935
2010-04-25,16574.53,113,26563.46901334368
2010-04-26,29734.03,114,26615.850833938428
2010-04-27,43534.06,115,26668.232654533174
2010-04-28,31181.87,116,26720.61447512792
2010-04-29,29575.671,117,26772.996295722667
2010-04-30,24532.95,118,26825.378116317414
2010-05-02,12342.17,119,26877.75993691216
2010-05-04,18945.33,120,26930.141757506906
2010-05-05,23625.22,121,26982.523578101653
2010-05-06,51704.13,122,27034.9053986964
2010-05-07,31976.09,123,27087.28721929115
2010-05-09,22852.06,124,27139.669039885895
2010-05-10,26496.43,125,27192.050860480642
2010-05-11,25201.04,126,27244.43268107539
2010-05-12,29744.74,127,27296.814501670135
2010-05-13,38966.0,128,27349.19632226488
2010-05-14,16895.24,129,27401.578142859627
2010-05-16,18370.09,130,27453.959963454374
2010-05-17,23290.76,131,27506.34178404912
2010-05-18,26164.58,132,27558.723604643867
2010-05-19,16575.5,133,27611.105425238613
2010-05-20,25331.44,134,27663.487245833363
2010-05-21,22494.36,135,27715.86906642811
2010-05-23,24824.93,136,27768.250887022856
2010-05-24,33536.19,137,27820.632707617602
2010-05-25,20415.92,138,27873.01452821235
2010-05-26,29586.64,139,27925.396348807095
2010-05-27,29221.670000000002,140,27977.77816940184
2010-05-28,18569.88,141,28030.159989996588
2010-05-30,10702.97,142,28082.541810591334
2010-06-01,13093.79,143,28134.92363118608
2010-06-02,13714.76,144,28187.305451780827
2010-06-03,26644.63,145,28239.687272375573
2010-06-04,11447.73,146,28292.06909297032
2010-06-06,25457.15,147,28344.450913565066
2010-06-07,45523.11,148,28396.832734159812
2010-06-08,48215.48,149,28449.21455475456
2010-06-09,36508.94,150,28501.596375349305
2010-06-10,18009.12,151,28553.97819594405
2010-06-11,30835.29,152,28606.3600165388
2010-06-13,21147.77,153,28658.741837133548
2010-06-14,21317.37,154,28711.123657728294
2010-06-15,26937.46,155,28763.50547832304
2010-06-16,29229.94,156,28815.887298917787
2010-06-17,22635.35,157,28868.269119512534
2010-06-18,17788.69,158,28920.65094010728
2010-06-20,9078.58,159,28973.032760702026
2010-06-21,18116.21,160,29025.414581296773
2010-06-22,12414.03,161,29077.796401891523
2010-06-23,25098.24,162,29130.17822248627
2010-06-24,17217.85,163,29182.560043081015
2010-06-25,12371.59,164,29234.941863675762
2010-06-27,18706.920000000002,165,29287.32368427051
2010-06-28,51132.78,166,29339.705504865255
2010-06-29,32236.920000000002,167,29392.08732546
2010-06-30,31491.43,168,29444.469146054747
2010-07-01,28830.02,169,29496.850966649494
2010-07-02,16726.13,170,29549.23278724424
2010-07-04,10376.29,171,29601.614607838987
2010-07-05,30963.57,172,29653.996428433733
2010-07-06,19917.28,173,29706.37824902848
2010-07-07,24902.95,174,29758.760069623226
2010-07-08,19973.45,175,29811.141890217972
2010-07-09,33408.64,176,29863.52371081272
2010-07-11,7609.2300000000005,177,29915.905531407465
2010-07-12,16101.17,178,29968.28735200221
2010-07-13,17419.12,179,30020.669172596958
2010-07-14,19418.63,180,30073.050993191704
2010-07-15,55836.91,181,30125.43281378645
2010-07-16,21137.760000000002,182,30177.8146343812
2010-07-18,14581.99,183,30230.196454975947
2010-07-19,28611.56,184,30282.578275570693
2010-07-20,23124.39,185,30334.96009616544
2010-07-21,19142.73,186,30387.341916760186
2010-07-22,21620.39,187,30439.723737354932
2010-07-23,23886.33,188,30492.10555794968
2010-07-25,17230.6,189,30544.48737854443
2010-07-26,20232.85,190,30596.869199139175
2010-07-27,28265.86,191,30649.25101973392
2010-07-28,23252.72,192,30701.632840328668
2010-07-29,32801.91,193,30754.014660923414
2010-07-30,14363.69,194,30806.39648151816
2010-08-01,30637.95,195,30858.778302112907
2010-08-02,26124.16,196,30911.160122707653
2010-08-03,22362.79,197,30963.5419433024
