Product,TotalQuantitySold,TotalRevenue,CurrentStock,ReorderLevel,LowStockAlert
  DOORMAT UNION JACK GUNS AND ROSES,167,1071.25,122,50,NO
 3 STRIPEY MICE FELTCRAFT,662,1241.1,455,50,NO
 4 PURPLE FLOCK DINNER CANDLES,200,265.2,368,50,NO
 ANIMAL STICKERS,385,80.85,290,50,NO
 BLACK PIRATE TREASURE CHEST,45,74.25,126,50,NO
 BROWN  PIRATE TREASURE CHEST ,36,59.4,91,50,NO
 Bank Charges,2,30.0,208,50,NO
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75,40,50,YES
 CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6000000000001,122,50,NO
 FAIRY CAKE CANDLES,153,202.05,141,50,NO
 FLAMINGO LIGHTS,335,1523.8500000000001,486,50,NO
 HOME SWEET HOME  BLACKBOARD,117,722.3100000000001,234,50,NO
 IVORY PAPER CUP CAKE CASES ,1146,521.1,350,50,NO
 LARGE SKULL WINDMILL,8,16.8,478,50,NO
 NEW BAROQUE BLACK BOXES,6,76.5,107,50,NO
 OVAL WALL MIRROR DIAMANTE ,20,199.0,392,50,NO
 PAINT YOUR OWN CANVAS SET,480,724.8,119,50,NO
 PEACE WOODEN BLOCK LETTERS,133,917.15,379,50,NO
 RED/WHITE DOT MINI CASES,478,3528.18,171,50,NO
 RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001,150,50,NO
 SET 2 TEA TOWELS I LOVE LONDON ,1055,3022.65,169,50,NO
 SET Of 6 SOLDIER SKITTLES,16,60.0,328,50,NO
 SILVER CHERRY LIGHTS,264,1594.8000000000002,277,50,NO
 SILVER T-LIGHT SETTING,37,240.15,363,50,NO
 STAR  T-LIGHT HOLDER ,20,28.999999999999996,433,50,NO
 VINTAGE DESIGN GIFT TAGS,244,207.4,313,50,NO
 WHITE BAMBOO RIBS LAMPSHADE,210,148.26,405,50,NO
 WHITE CHERRY LIGHTS,1986,11697.300000000001,211,50,NO
10 COLOUR SPACEBOY PEN,6015,5000.429999999999,463,50,NO
11 PC CERAMIC TEA SET POLKADOT,3,14.85,296,50,NO
12 ASS ZINC CHRISTMAS DECORATIONS,429,900.9000000000001,180,50,NO
12 COLOURED PARTY BALLOONS,2116,1309.4,479,50,NO
12 DAISY PEGS IN WOOD BOX,576,950.4,333,50,NO
12 EGG HOUSE PAINTED WOOD,364,3751.4,41,50,YES
12 IVORY ROSE PEG PLACE SETTINGS,1647,1969.83,272,50,NO
12 MESSAGE CARDS WITH ENVELOPES,1396,2231.4,255,50,NO
12 MINI TOADSTOOL PEGS,465,581.25,364,50,NO
12 PENCIL SMALL TUBE WOODLAND,5238,3325.5,68,50,NO
12 PENCILS SMALL TUBE POSY,518,336.7,494,50,NO
12 PENCILS SMALL TUBE RED RETROSPOT,3610,2346.5,78,50,NO
12 PENCILS SMALL TUBE RED SPOTTY,7997,4998.05,189,50,NO
12 PENCILS SMALL TUBE SKULL,6216,3977.2000000000003,495,50,NO
12 PENCILS TALL TUBE POSY,2047,732.91,207,50,NO
12 PENCILS TALL TUBE RED RETROSPOT,1210,1028.5,483,50,NO
12 PENCILS TALL TUBE RED SPOTTY,2239,1878.1899999999998,290,50,NO
12 PENCILS TALL TUBE SKULLS,2651,2248.67,209,50,NO
12 PENCILS TALL TUBE WOODLAND,2634,2164.02,465,50,NO
12 PINK HEN+CHICKS IN BASKET,49,124.95,194,50,NO
12 PINK ROSE PEG PLACE SETTINGS,1260,1486.08,465,50,NO
12 RED ROSE PEG PLACE SETTINGS,767,949.63,70,50,NO
15 PINK FLUFFY CHICKS IN BOX,19,56.050000000000004,383,50,NO
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1314,9669.300000000001,74,50,NO
2 DAISIES HAIR COMB,12,35.400000000000006,263,50,NO
2 PICTURE BOOK EGGS EASTER BUNNY,560,535.0,339,50,NO
2 PICTURE BOOK EGGS EASTER CHICKS,557,531.25,150,50,NO
2 PICTURE BOOK EGGS EASTER DUCKS,548,520.0,326,50,NO
20 DOLLY PEGS RETROSPOT,3221,3769.63,154,50,NO
200 BENDY SKULL STRAWS,601,682.85,40,50,YES
200 RED + WHITE BENDY STRAWS,1226,1482.34,348,50,NO
24 HANGING EASTER EGGS FLORAL TUB,654,2222.1,186,50,NO
3 BIRDS CANVAS SCREEN,1,1.65,293,50,NO
3 BLACK CATS W HEARTS BLANK CARD,55,10.450000000000001,407,50,NO
3 GARDENIA MORRIS BOXED CANDLES,339,1343.07,108,50,NO
3 HEARTS HANGING DECORATION RUSTIC,5492,15454.2,335,50,NO
3 HOOK HANGER MAGIC GARDEN,1056,1853.9999999999998,33,50,YES
3 HOOK PHOTO SHELF ANTIQUE WHITE,1328,9585.64,261,50,NO
3 PIECE JIGSAW TOADSTOOLS,16,26.4,284,50,NO
3 PIECE SPACEBOY COOKIE CUTTER SET,211,443.1,365,50,NO
3 PINK HEN+CHICKS IN BASKET,87,97.35,72,50,NO
3 ROSE MORRIS BOXED CANDLES,174,689.34,405,50,NO
3 STRIPEY MICE FELTCRAFT,4170,7275.5,359,50,NO
3 TIER CAKE TIN GREEN AND CREAM,122,1753.5,111,50,NO
3 TIER CAKE TIN RED AND CREAM,199,2834.25,386,50,NO
3 TIER SWEETHEART GARDEN SHELF,8,287.6,463,50,NO
3 TRADITIONAL COOKIE CUTTERS  SET,204,392.40000000000003,474,50,NO
3 TRADITIONAl BISCUIT CUTTERS  SET,302,598.2,447,50,NO
3 WHITE CHOC MORRIS BOXED CANDLES,233,909.29,283,50,NO
3 WICK CHRISTMAS BRIAR CANDLE ,258,967.5,450,50,NO
36 DOILIES DOLLY GIRL,1039,1391.35,54,50,NO
36 DOILIES SPACEBOY DESIGN ,705,993.4499999999999,225,50,NO
36 DOILIES VINTAGE CHRISTMAS,2592,3585.6,100,50,NO
36 FOIL HEART CAKE CASES,550,1104.0,439,50,NO
36 FOIL STAR CAKE CASES ,437,890.7,69,50,NO
36 PENCILS TUBE POSY,145,181.25,379,50,NO
36 PENCILS TUBE RED RETROSPOT,1055,1294.43,407,50,NO
36 PENCILS TUBE RED SPOTTY,3225,3882.29,21,50,YES
36 PENCILS TUBE SKULLS,2193,2683.49,409,50,NO
36 PENCILS TUBE WOODLAND,1968,2456.96,73,50,NO
3D CHRISTMAS STAMPS STICKERS ,773,945.73,125,50,NO
3D DOG PICTURE PLAYING CARDS,967,2737.4500000000003,279,50,NO
3D HEARTS  HONEYCOMB PAPER GARLAND,562,1625.1000000000001,329,50,NO
3D SHEET OF CAT STICKERS,951,808.3499999999999,496,50,NO
3D SHEET OF DOG STICKERS,918,780.3,210,50,NO
3D SHEET OF SEA WORLD STICKERS,145,123.25,421,50,NO
3D STICKERS CHRISTMAS STAMPS,940,1137.0,237,50,NO
3D STICKERS TRADITIONAL CHRISTMAS ,980,1187.0,63,50,NO
3D STICKERS VINTAGE CHRISTMAS,1060,1268.0,181,50,NO
3D TRADITIONAL CHRISTMAS STICKERS,898,1101.98,221,50,NO
3D VINTAGE CHRISTMAS STICKERS ,959,1157.71,465,50,NO
4 BLUE DINNER CANDLES SILVER FLOCK,132,259.2,289,50,NO
4 BURGUNDY WINE DINNER CANDLES,488,251.44,370,50,NO
4 FESTIVE GREEN DINNER CANDLES,51,23.91,323,50,NO
4 GOLD FLOCK CHRISTMAS BALLS,126,198.0,290,50,NO
4 IVORY DINNER CANDLES GOLD FLOCK,816,1029.72,475,50,NO
4 IVORY DINNER CANDLES SILVER FLOCK,861,1390.71,481,50,NO
4 LAVENDER BOTANICAL DINNER CANDLES,283,983.25,234,50,NO
4 LILY  BOTANICAL DINNER CANDLES,324,1182.0,271,50,NO
4 PEAR BOTANICAL DINNER CANDLES,337,1188.75,209,50,NO
4 PINK DINNER CANDLE SILVER FLOCK,133,155.55,315,50,NO
4 PINK FLOCK CHRISTMAS BALLS,126,198.0,232,50,NO
4 ROSE PINK DINNER CANDLES,402,183.78,227,50,NO
4 SKY BLUE DINNER CANDLES,317,157.21,256,50,NO
4 TRADITIONAL SPINNING TOPS,3196,3964.6,357,50,NO
4 VANILLA BOTANICAL CANDLES,156,585.0,386,50,NO
4 WILDFLOWER BOTANICAL CANDLES,296,1059.0,72,50,NO
5 HOOK BLACKBOARD ORGANISER ,300,2579.64,299,50,NO
5 HOOK HANGER MAGIC TOADSTOOL,1179,1830.15,429,50,NO
5 HOOK HANGER RED MAGIC TOADSTOOL,1469,2248.65,236,50,NO
