Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346.0,164,11,372.86,1,4,2,142
12347.0,2,2,1323.32,4,2,3,423
12348.0,73,1,222.15999999999997,2,1,1,211
12349.0,42,3,2671.14,3,3,4,334
12351.0,10,1,300.93,4,1,1,411
12352.0,10,2,343.8,4,2,2,422
12353.0,43,1,317.76,3,1,2,312
12355.0,202,1,488.21000000000004,1,1,2,112
12356.0,15,3,3560.3,4,3,4,434
12357.0,23,2,12079.99,3,2,4,324
12358.0,10,3,2719.01,4,3,4,434
12359.0,60,6,2563.36,2,4,4,244
12360.0,14,5,1590.83,4,3,3,433
12361.0,97,3,321.35,2,3,2,232
12362.0,373,1,130.0,1,1,1,111
12366.0,268,1,500.24,1,1,2,112
12368.0,263,1,917.7,1,1,3,113
12369.0,48,3,1791.15,3,3,4,334
12370.0,259,3,774.62,1,3,3,133
12371.0,44,3,2179.42,3,3,4,334
12373.0,259,2,763.0500000000001,1,2,3,123
12374.0,56,3,2246.29,2,3,4,234
12376.0,24,2,503.15,3,2,2,322
12377.0,16,2,1798.2,4,2,4,424
12378.0,197,1,1407.7,1,1,3,113
12379.0,57,2,767.98,2,2,3,223
12380.0,100,7,6951.49,2,4,4,244
12385.0,14,1,1938.4,4,1,4,414
12386.0,1,1,258.90000000000003,4,1,1,411
12387.0,50,1,143.94,3,1,1,311
12388.0,80,2,1120.45,2,2,3,223
12389.0,37,3,1433.33,3,3,3,333
12391.0,99,5,2285.18,2,3,4,234
12392.0,226,1,234.75000000000003,1,1,1,111
12393.0,17,2,816.85,4,2,3,423
12395.0,6,4,2048.64,4,3,4,434
12396.0,309,1,931.4300000000001,1,1,3,113
12399.0,20,3,853.65,3,3,3,333
12400.0,49,1,205.25,3,1,1,311
12402.0,27,5,1031.3,3,3,3,333
12403.0,156,1,591.6600000000001,1,1,2,112
12404.0,317,1,63.24,1,1,1,111
12406.0,34,3,2975.06,3,3,4,334
12408.0,20,3,1452.22,3,3,3,333
12409.0,55,4,12346.62,2,3,4,234
12410.0,137,1,320.38,1,1,2,112
12411.0,44,1,346.9,3,1,2,312
12412.0,37,3,1370.05,3,3,3,333
12413.0,37,1,241.35,3,1,1,311
12414.0,98,3,390.0,2,3,2,232
12415.0,10,7,19543.84,4,4,4,444
12416.0,291,1,202.56,1,1,1,111
12417.0,45,11,3148.31,3,4,4,344
12418.0,48,3,1352.62,3,3,3,333
12419.0,20,2,503.01,3,2,2,322
12421.0,50,2,291.56,3,2,1,321
12422.0,29,14,4428.24,3,4,4,344
12423.0,22,2,763.08,3,2,3,323
12424.0,57,2,1579.07,2,2,3,223
